Amount,MTTR,M_r,M_rf,PE,EPS,ROE,IPS,yyyymm,Beta,M_ExRet,M_vol,M_liq,M_high,M_skew,PEL1,EPSL1,ROEL1,IPSL1,MTTRL1,BetaL1,M_volL1,M_liqL1,M_highL1,M_skewL1
585050314.08,67.5469,-0.214,0.00093,18.56,0.13,10.0188,1.45,200509,0.8598,-0.21492999999999998,0.012748379999999998,-0.010600772314323022,0.911111111111111,-1.1805072157459473,23.61,0.13,10.0188,1.45,19.598,0.9111,0.021670379999999996,0.008654984202687739,0.8917910447761195,1.7314178855258142
70220021.61,9.0694,-0.0623,0.000969,17.83,0.2,14.6681,2.25,200510,0.8617,-0.063269,0.00654975,-0.0034482483714252704,0.8145048814504882,-0.9516998315344739,18.56,0.13,10.0188,1.45,67.5469,0.8598,0.012748379999999998,-0.010600772314323022,0.911111111111111,-1.1805072157459473
68235493.08,12.8206,-0.2657,0.001173,13.1,0.2,14.6681,2.25,200511,0.9084,-0.26687299999999997,0.08070775999999999,-0.014729626196472384,0.5578800557880056,-2.500503137601832,17.83,0.2,14.6681,2.25,9.0694,0.8617,0.00654975,-0.0034482483714252704,0.8145048814504882,-0.9516998315344739
150367804.53,28.7442,0.0413,0.001507,13.64,0.2,14.6681,2.25,200512,0.8782,0.039793,0.009779089999999999,0.0021934722299330072,0.5781922525107605,0.08425066609993356,13.1,0.2,14.6681,2.25,12.8206,0.9084,0.08070775999999999,-0.014729626196472384,0.5578800557880056,-2.500503137601832
384276974.38,62.36,0.2357,0.001507,16.77,0.2,14.6681,2.25,200601,1.0546,0.23419299999999998,0.0160498,0.011923989516730037,0.8647260273972602,1.1681289569006348,13.64,0.2,14.6681,2.25,28.7442,0.8782,0.009779089999999999,0.0021934722299330072,0.5781922525107605,0.08425066609993356
322868858.13,47.9424,-0.0582,0.001466,15.8,0.3,19.2863,3.84,200602,0.9668,-0.059666000000000004,0.01358606,-0.0029704855030573472,1.0297029702970297,0.31922479359356515,16.77,0.2,14.6681,2.25,62.36,1.0546,0.0160498,0.011923989516730037,0.8647260273972602,1.1681289569006348
259397758.39,40.5424,-0.0128,0.001453,15.59,0.3,19.2863,3.84,200603,0.92,-0.014253,0.01144834,-0.0006606835853419516,0.9365384615384615,0.2945532187628155,15.8,0.3,19.2863,3.84,47.9424,0.9668,0.01358606,-0.0029704855030573472,1.0297029702970297,0.31922479359356515
661368906.53,94.0644,0.1123,0.001548,18.22,0.06,3.8942,1.72,200604,1.0838,0.110752,0.03299132,0.0055293442792308045,1.075,0.2104464315780363,15.59,0.3,19.2863,3.84,40.5424,0.92,0.01144834,-0.0006606835853419516,0.9365384615384615,0.2945532187628155
1113400877.09,131.0245,0.2194,0.001672,22.22,0.06,3.8942,1.72,200605,1.1173,0.217728,0.052385980000000006,0.010532538885487908,1.2576028622540252,0.34148069861577635,18.22,0.06,3.8942,1.72,94.0644,1.0838,0.03299132,0.0055293442792308045,1.075,0.2104464315780363
534450634.39,66.2546,-0.051,0.001811,21.08,0.06,3.8942,1.72,200606,1.1252,-0.052811,0.03079966,-0.0025377237706895343,0.9544807965860597,-1.030599271663057,22.22,0.06,3.8942,1.72,131.0245,1.1173,0.052385980000000006,0.010532538885487908,1.2576028622540252,0.34148069861577635
